Ңинакиннун гиркилэн.	Дружба с собакой.	1
Бэе ӈинакиннун гиркилэндулин дуннэдук бакавчал элэнилвэ эвкил кэтэе улгучэндерэ.	Скуп и темен рассказ старухи-земли о дружбе человека с собакой.	1
Улэденэл учэлэ соду городу бичэл бэел урикичилвэтын бэел дылмалватын, гирамналватын бакавкил.	При раскопках самых древних становищ находят черепа людей.	1
Тарил бэел нямадилва тысячалва анӈанилва амаски мит эделит итывувра индечэл бичэтын.	Эти люди жили за сотни тысяч лет до нас.	1
Тар улэденэл эласа-да дуннэдук бэйӈэл дылмалватын хэгдымэмэл икэчилвэ, эмэрил иктэчилвэ уривкил.	И тут же всегда выкапывают звериные черепа с могучими челюстями, с острыми зубами.	1
Тар-ка иргичил-гу дылмалтын?	Что это — волчьи черепа?	1
Эчэ, тар ӈинакир дылмалтын.	Нет,— собачьи.	1
Иргичил гирамналтын авадытыкирдивар признакилдивар eчэлэ со городу эситкэнӈэчин ӈинакир гирамналдуктын сот хуӈтутмэрил биӈкитын.	Кости волков по множеству признаков в глубокой древности отличались так же резко от костей собак, как и теперь.	1
Эрил признакилва аямамат зоологил садечатын.	Эти признаки хорошо знают зоологи.	1
Ңинакин иргичинун юдекмэлтэ.	Собака и волк в родстве, в близком родстве несомненно.	1
Иргичи эмэнмучэ агиду, ӈинакин эмэчэ бэелэ.	Но волк остался в лесу, а собака пришла к человеку.	1
Окин тар очан?	Когда?	1
Эчэ саврэ.	Неизвестно.	1
Таӈуя ачин кэтэмэмэ ӈинакир ичэдытын.	Изумительно, до какого разнообразия дошло почти бесчисленное множество собачьих пород.	1
Ңинакин бэе инин авадытыкинма гэлэрилван аят татыча.	Собака гибко приспособилась, кажется, ко всем потребностям человеческой жизни.	1
Бэе мэнӈиви дюви, тэмуду овки оракиннун, ӈинакин тысактавки, хуривэнивки очан.	Понадобилось человеку устроить свое жилище на сваях над водой — собака научилась плавать и нырять.	1
Химатхуктывкилвэ бэйӈэлвэ бэебултавки оракин, ӈинакин — борзай, ӈоним, хилимкун, чэнчэмэ (ӈонимил халгачил) хуктылэн, микчалэн, дявалан очан.	Стал человек ловить быстро бегающих зверей — явилась борзая, длинная, узкая, длинноногая, вся приспособленная к бегу, к прыжку, к ловле.	1
Ңинакин — борзай эчэ амталан биси.	У борзой почти нет чутья	1
Нуӈан эрут долдыра, тар бинэ гороло аямамат ичэвки	Она плохо слышит, но далеко и остро видит	1
Ңонимилди икэрдиви бэйӈэе дяванӈкигачинди дявавки.	А длинными челюстями хватает добычу, как щипцами.	1
Бултамнил борзай амӈаван дяваӈки гэрбичивкил.	По-охотничьи у борзой не пасть, а "щипец".	1
Ңинакинма алагувдяӈа хэкимнэдэн.	Собаку можно научить танцовать.	1
Египетскаил, индийскаил, китайскаил ӈинакир учэлэ тысячалва анӈанилва амаски хэкимнэдевкил бичэтын.	У египетских пирамид, у индийских пагод, у пестрых кумирен Китая тысячи лет назад плясали собаки.	1
Левва, кроликва, хорокива, нимэвэ тадук чипканмэ ӈинакинди бэюмэчиӈнэрэ.	На льва, на кролика, на глухаря, на перепела охотятся с собакой.	1
Югты ламу (море) дяпкалдун нямапчулду дуннэлду хулукукэр ӈинакичар биси.	На берегах южного моря, в теплом климате, вывелись крошечные собачонки.	1
Нуӈартын инӈактая ачир, элэ нуӈардитын эвивунтэвкил инептынтэвкил.	Они изнеженные, совсем без шерсти, годные только для забавы.	1
Японскай ӈинакин дюлаккан хулукукэнин колтогачин бисин.	Японская собачка — голенькое существо величиною с кулак.	1
Таргачин ӈинакикан энэ тыерэ хутаканду нэвувки.	Такая собачка свободно укладывается в муфту	1
Туги учэлэ элэвкэсиктэл асал тарилӈинакикарва ӈэнэвдеӈкитын оӈоктоллвор тэсиптырдувэр.	Так их, бывало, и носили модницы-щеголихи вместе с носовыми платками.	1
Китаецыл ӈинакир хадылватын девӈэ дярин дявучадявкил.	Китайцы держат особую породу собак для еды.	1
Эрил китайскаил ӈинакир туги-дэ нисимамамал, туги-дэ дюлакир ӈинакичар.	Это также мелкие, также голые собачонки.	1
Китаецыл гундевкил, тарил ӈинакир уллэтын алапчумама, чипкан уллэгэчинин.	Их мясо, как уверяют китайцы, вкусом похоже на утиное.	1
Крабилва дявавкил-да (бултавкил) ӈинакир биси.	Даже для ловли крабов есть собаки.	1
Нуӈартын эчэл хэгдыл биси, эчэл дюлакмэмэл биси, нуӈартын удурултын (дэрэлтын) силимкукэр.	Это небольшие поджарые собаки, с узкими мордами.	1
Тарил ӈинакир му хэрэдун, дёлол сигдылэдутын бисилдук горосалдук дылмагачин нанначилва бэйӈэӈилвэр уридявкил.	Они умеют в подводных норах между камнями отыскивать свою черепокожую дичь.	1
Туги-некэнэ ӈинакин мэнӈидукви тэгэрдукви иргичидук хуӈтутмэр оча.	Дальше, кажется, уже некуда собаке уклониться от древнего предка, от волка.	1
Ңинакин-да иргичи дагаткумама юдекин кэтэмэмэлду дуннэлду севердылин дяпкалин бидевки.	А самая близкая его родственница живет на очень обширной полосе земли по северному ее краю	1
Тар ӈинакин урэрэн иргичивэ, тырга нуӈарватын эдеӈэ тагивра.	Она похожа на волка так, что их днем смешать просто	1
Тар ӈинакин мэнӈиви нюӈэви дюван этэетчэвки, нуӈан толгокилван ируктадявки, нуӈаннунин моржва, багдамава амакава бэюмэтчэвкил.	Она сторожит чум своего хозяина, возит его нарты, охотится с ним на моржа и белого медведя.	1
Дюкэчи ламу (море) дяпкалдулин горотку север дэтылдулин бэевэ идэгэтэйвэ, дептылэтэйвэ ӈинакин ируктадявки.	По берегам ледяного моря, на крайнем севере тундры — там человека со всеми его пожитками везет собака.	1
Горотку север дэтылдун лавикта, орон дептылэн, эвки балдыра.	Там не растет даже мох — убогий корм оленя 	1
Бэевэ ируктавки ӈинакин утумукин (никимнан) дырам, сэрин эмэрил, лэрбэлэ иргичиӈилгэчин.	Загривок у ездовой собаки толст, уши остры, торчат, как у волка.	1
Идурутви, игдямаптыкин инӈактатви (чиятви) ӈинакин иргичивэ урэрэн.	Мордой и рыже-серой шерстью собака вполне похожа на родственника из лесу — волка.	1
Тэде-дэ, полярнайду иӈинду нуӈан эвки гогоро, элэ бунивки иргичигэчин.	Правда, в полярном холоде она не лает, только воет, как волк.	1
Тар-да бинэ югтулэ эмэвувчэ ӈинакин тэлинӈэ гоговкит татывки.	Но перевезенная к югу легко выучивается лаять.	1
Халдун ӈинакин иргичинун соканивки.	Смешаться с волком собака может.	1
Иргичиенундук ӈинакиннундук эда-вэл коӈномол кикивур ӈинакир балдывкил.	От волка с собакой родятся черные свирепые псы.	1
Ңинакин "наукан"	Собачья "наука".	1
Дуннэ упкаттун упкат тэгэл ӈинакиртын этэечимнил биси.	У всех народов во всех уголках земного шара собака прежде всего сторож.	1
Ңинакин хэгдегин дюва тадук сэсинмэ этэеттын.	Основная служба собаки — охрана дома и стада.	1
Туги ӈинакин хавалилчан соду городу.	Она началась бесконечно давно.	1
Ңинакин мачалэлвэ мурирва, этэетчэнэ, гэрбичивулчэн овчаркэт.	Занятая около домашнего скота собака стала называться овчаркой	1
Бирадук Енисейдук востоктыки хигикачилду агилду ӈинакин сэсин орор булэндитын таӈивувки.	К востоку от р. Енисея в глухой тайге собака считается врагом стада.	1
Тала эчэл бэрул (овцал), мурир, мачалэл бирэ, тала орор.	Но там уже не овцы, не лошади, не коровы, там олени.	1
Тала ӈинакир бодотын хуӈтутмэр.	Это другое дело, там своеобразные условия для жизни собак.	1
Бултамниды, толгокитавун ӈинакин кэтэрэт сэсирвэ (орорво, мачалэлвэ, мурирвэ) этэетчэвки.	В большинстве же мест охотничья и ездовая собака стадо сторожит.	1
